,Acurácia,F1_all,F1_Acinar,F1_Alpha,F1_Beta,F1_delta,F1_duct,F1_pp,F1_psc
Fold 1,0.8346316492321388,0.6971631156776787,0.5769230769230769,0.8690725975660932,0.8151402500844881,0.44554455445544555,0.8968105065666041,0.3612903225806452,0.9153605015673981
Fold 2,0.8368573336300913,0.7050846419814782,0.64,0.8711036225779275,0.8165322580645162,0.4623655913978495,0.8946395563770795,0.3506493506493506,0.9003021148036254
Fold 3,0.8352993545515246,0.6822980156404025,0.5172413793103449,0.8713798977853493,0.8211570247933884,0.46408839779005523,0.8801498127340824,0.358974358974359,0.8630952380952381
Fold 4,0.8350767861117293,0.6985523709586886,0.5614035087719298,0.8701489406335221,0.8176271186440678,0.4854368932038835,0.8813559322033898,0.3973509933774834,0.8765432098765432
Fold 5,0.8437569552637436,0.7174137349118327,0.6666666666666666,0.8797494780793319,0.8189890710382514,0.5077720207253886,0.907103825136612,0.3506493506493506,0.8909657320872274
