,Acurácia,F1_all,F1_Acinar,F1_Alpha,F1_Beta,F1_delta,F1_duct,F1_pp,F1_psc
Fold 1,0.874969474969475,0.6846991781883536,0.7826086956521738,0.8898743532889875,0.8675256029071688,0.573529411764706,0.9441340782122903,0.4444444444444445,0.9754768392370572
Fold 2,0.8761904761904762,0.6413703874860724,0.5555555555555556,0.8954635108481263,0.8720968269545305,0.5413533834586466,0.9502762430939227,0.34074074074074073,0.9754768392370572
Fold 3,0.8888888888888888,0.7015775438407272,0.8695652173913044,0.9007179995048278,0.8892529488859765,0.6394557823129251,0.9467787114845938,0.3829787234042554,0.9838709677419355
Fold 4,0.8832722832722832,0.6947529434259616,0.8695652173913044,0.8962798718896281,0.8820243181071311,0.6197183098591549,0.9526462395543176,0.36496350364963503,0.9728260869565217
Fold 5,0.8735042735042735,0.6782597989872349,0.761904761904762,0.8913470993117011,0.8653465346534652,0.5942028985507246,0.9378531073446327,0.39716312056737585,0.9782608695652174
