,Acurácia,F1_all,F1_Acinar,F1_Alpha,F1_Beta,F1_delta,F1_duct,F1_pp,F1_psc
Fold 1,0.8540925266903915,0.5614349565007459,0.7499999999999999,0.888888888888889,0.8099415204678363,0.14285714285714288,0.9538461538461539,0.0,0.945945945945946
Fold 2,0.8425266903914591,0.5443848711663557,0.7499999999999999,0.8793774319066148,0.7982456140350876,0.07407407407407407,0.9218749999999999,0.0,0.9315068493150686
Fold 3,0.8327402135231317,0.5329223020012493,0.5714285714285715,0.8703703703703705,0.7703703703703704,0.14285714285714288,0.962406015037594,0.0,0.945945945945946
Fold 4,0.8603202846975089,0.509361804034622,0.33333333333333337,0.8908091123330715,0.8179190751445086,0.07407407407407407,0.9850746268656716,0.0,0.9736842105263158
Fold 5,0.853202846975089,0.4996320954083241,0.33333333333333337,0.8854247856586126,0.822349570200573,0.07407407407407407,0.9218749999999999,0.0,0.9600000000000001
