,Acurácia,F1_all,F1_Acinar,F1_Alpha,F1_Beta,F1_delta,F1_duct,F1_pp,F1_psc
Fold 1,0.8731359893167149,0.6668069061572767,0.9375,0.8991814733479736,0.8354609929078014,0.4714285714285714,0.9501915708812262,0.2666666666666666,0.974025974025974
Fold 2,0.8702425995993768,0.6655573625668828,0.9032258064516129,0.8964686998394864,0.8326875660443818,0.4460431654676259,0.9601518026565465,0.3116883116883117,0.9741935483870968
Fold 3,0.8771422212330292,0.6745776069601657,0.9375,0.9013687600644122,0.8445686342996856,0.4604316546762591,0.9377431906614786,0.33766233766233766,0.9773462783171522
Fold 4,0.8749165368350768,0.6695405807422762,0.9696969696969697,0.8993635640413683,0.8393559928443648,0.4492753623188405,0.9346153846153847,0.29333333333333333,0.9706840390879479
Fold 5,0.8775873581126197,0.673787331914836,0.9375,0.90295693589998,0.8381088825214902,0.4714285714285714,0.9540229885057471,0.3157894736842105,0.9704918032786886
