,Acurácia,F1_all,F1_Acinar,F1_Alpha,F1_Beta,F1_delta,F1_duct,F1_pp,F1_psc
Fold 1,0.8427350427350427,0.7168181547695581,0.392156862745098,0.8643451143451143,0.8502879078694817,0.6229508196721312,0.8655913978494624,0.5128205128205129,0.9095744680851063
Fold 2,0.8468864468864469,0.7044578001905718,0.4090909090909091,0.8704232666839782,0.8578745198463509,0.5414364640883977,0.84375,0.5,0.9086294416243654
Fold 3,0.859096459096459,0.7134938246813086,0.4230769230769231,0.881664499349805,0.8728544183089637,0.5573770491803279,0.8780487804878049,0.4615384615384615,0.9198966408268734
Fold 4,0.8525030525030525,0.7382403486566586,0.5333333333333333,0.8714880332986472,0.8621569878749203,0.6243386243386243,0.8900804289544235,0.48372093023255813,0.9025641025641027
Fold 5,0.8517704517704517,0.7495809841249634,0.5806451612903226,0.8722580645161291,0.8517451168747999,0.5862068965517242,0.8923884514435695,0.5315315315315315,0.9322916666666666
