,Acurácia,F1_all,F1_Acinar,F1_Alpha,F1_Beta,F1_delta,F1_duct,F1_pp,F1_psc
Fold 1,0.8612099644128114,0.7819509276259204,0.888888888888889,0.8874281018898932,0.8259109311740891,0.5714285714285714,0.9333333333333335,0.4166666666666667,0.9500000000000001
Fold 2,0.8362989323843416,0.7130432969493224,0.9090909090909091,0.8704156479217603,0.7978142076502732,0.3,0.9481481481481482,0.23076923076923075,0.935064935064935
Fold 3,0.8256227758007118,0.7166516510163963,0.888888888888889,0.8594377510040161,0.7715877437325905,0.4,0.962962962962963,0.16,0.9736842105263158
Fold 4,0.853202846975089,0.7680605845500065,0.888888888888889,0.8818255908720456,0.8081632653061224,0.55,0.9618320610687023,0.28571428571428575,1.0
Fold 5,0.847864768683274,0.7487423889063888,1.0,0.8830313014827018,0.8059299191374664,0.5238095238095238,0.9197080291970804,0.16,0.9487179487179487
